,Labels,Message
1114,ham,good movie ok leave hourish
1115,ham,kallis home ground amla home town durban
1116,ham,let make saturday monday per convenience
1117,ham,hey time driving fri go evaluation fri
1118,spam,price claim call
1119,ham,going lunch wif family aft dat go str orchard lor
1120,spam,bored speed dating try speedchat txt speedchat like em txt swap get new chatter chat pobox w wq p msg rcd
1121,ham,cancel cheyyamo get money back
1122,spam,want anytime network min text new video phone five pound per week call reply delivery tomorrow
1123,ham,ok ok ok whats ur today plan
1124,ham,good morning princess
1125,ham,aiyar sorry lor forgot tell u
1126,spam,taking part mobile survey yesterday text use however wish get txts send txt c www txt com p
1127,ham,tonight mate catching sleep new number way
1128,ham,height oh shit situation guy throw luv letter gal fall brother head who gay
1129,spam,ur hmv quiz cash balance currently maximize ur cash send hmv p msg
1130,ham,check error difficulty correction
1131,ham,howz pain hope u r fine
1132,ham,sorry call later
1133,ham,good morning princess
1134,ham,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
1135,ham,u wake already thanx e tau sar piah quite nice
1136,ham,k need login anything
1137,spam,dont forget place many free request stchoice co uk wish information call
1138,ham,lol busy
1139,ham,u wearing
1140,ham,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
1141,ham,oh usual vijay film different
1142,spam,know u u know send chat let find p msg rcvd hg suite land row w j hl ldn year
1143,ham,good day mine really busy much tomorrow night
1144,ham,way send shade stuff wonderful
1145,ham,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study
1146,spam,thank winner notified sm good luck future marketing reply stop customer service
1147,ham,babe lost
1148,ham,ok help ask working tmr
1149,ham,driving raining get caught e mrt station lor
1150,ham,drop tank
1151,ham,said text one time
1152,ham,sorry call later
1153,ham,ok go change also
1154,spam,girl many local u r virgin r ready fil ur every sexual need u fil text cute p
1155,ham,u find sitter kaitlyn sick slept day yesterday
1156,ham,sorry man accidentally left phone silent last night check til got
1157,ham,hey something came last min think wun signing tmr hee
1158,ham,adult would learn experience real danger dont like peep using drug dont need comment
1159,ham,hey veggie pizza
1160,ham,yun buying school got offer plus
1161,ham,sure neighbor didnt pick
1162,ham,k sent
1163,spam,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply
1164,ham,new theory argument win situation loses person dont argue ur friend kick amp say always correct
1165,ham,well im computerless time make oreo truffle
1166,ham,haha yeah see sec
1167,ham,number sir
1168,ham,lol hot air balloon
1169,ham,ok bus come soon come otherwise tomorrow
1170,ham,msg r time pas silently say thinking u right also making u think least moment gd nt swt drms shesil
1171,ham,yeah probably swing roommate finish girl
1172,spam,got take take part wrc rally oz u lucozade energy text rally le p see pack lucozade co uk wrc itcould u
1173,ham,happy new year melody
1174,ham,dun need pick ur gf
1175,ham,yay better told girl either
1176,ham,horrible u eat mac eat u forgot abt already rite u take long reply thk toot b b prepared wat shall eat
1177,ham,say fantastic chance anything need bigger life lift losing live think would first person die n v q
1178,ham,nw came hme da
1179,ham,outside island head towards hard rock run
1180,ham,day class class
1181,ham,chennai velachery
1182,ham,flippin shit yet
1183,ham,k give sec breaking lt gt cstore
1184,ham,much bad avoid like
1185,ham,yo around got car back
1186,ham,annoying
1187,ham,goodmorning today late lt gt min
1188,ham,point hangin mr right makin u happy
1189,ham,come alive better correct good looking figure
1190,ham,case guess see campus lodge
1191,ham,done
1192,ham,come home one last time wont anything trust
1193,ham,night worrying appt shame missed girl night quiz popcorn hair
1194,spam,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabe co uk pic wk
1195,ham,ok c ya
1196,spam,new voicemail please call
1197,ham,said matter mind saying matter
1198,ham,also know lunch menu da know
1199,ham,al moan n e thin go wrong fault al de argument r fault fed himso bother hav go thanx xx
1200,ham,neft transaction reference number lt gt r lt decimal gt credited beneficiary account lt gt lt time gt lt gt
1201,ham,otherwise part time job na tuition
1202,ham,know called
1203,ham,also da feel yesterday night wait til day night dear
1204,ham,thanks understanding trying tell sura
1205,spam,win year supply cd store ur choice worth enter weekly draw txt music t c www ldew com sub win ppmx
1206,ham,whole car appreciated last two dad map reading semi argument apart thing going ok p
1207,spam,sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr
1208,ham,need strong arm
1209,ham,also maaaan missing
1210,ham,bday real april
1211,ham,guessin gon na
1212,ham,ok come ur home half hour
1213,ham,yo game almost want go walmart soon
1214,ham,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well
1215,ham,text creepy like think forgot
1216,ham,would good phone tomo lunchtime shall organise something
1217,spam,new voicemail please call
1218,ham,damn make tonight want wait til tomorrow
1219,ham,k k also fine complete course
1220,ham,true passable get high score apply phd get year salary make life easier
1221,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend p tone reply hl info
1222,ham,prakesh know
1223,ham,teach apps da come college
1224,ham,rofl betta invest anti aging product
1225,spam,winner u specially selected receive cash holiday flight inc speak live operator claim
1226,ham,sir receive account another hr time sorry delay
1227,spam,reply name address receive post week completely free accommodation various global location www phb com ph p
1228,ham,submitting da project tmr rite
1229,spam,free entry weekly comp send word enter c www textcomp com cust care
1230,ham,jus an lar u noe later
1231,ham,want send something sell fast lt gt k easy money
1232,ham,got thing may pub later
1233,ham,finish meeting call
1234,ham,lol ok snatch purse
1235,ham,hello drivby quit edrunk sorry iff pthis make senrd dnot dancce drum n basq ihave fun nhite x ro xxxxxxx
1236,ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
1237,ham,much getting
1238,ham,ur paper e morn aft tmr
1239,ham,dear relieved westonzoyland going plan end
1240,ham,hope great new semester wish best made greatness
1241,ham,oh yes speak txt u hmm u get email
1242,ham,want show world princess europe
1243,ham,nobody decide eat dad want chinese
1244,ham,shoot doc waiting room
1245,ham,going dinner soon
1246,ham,hello site download song urgent pls
1247,ham,know u mean king havin credit goin bed night night sweet sleep
1248,ham,horrible gal sch stuff come u got mc
1249,ham,hi hun im comin nite tell every im sorry hope u ava goodtime oli rang melnite ifink mite b sorted il explain everythin mon l r x
1250,ham,call later network urgnt sm
1251,ham,ummmmmaah many many happy return day dear sweet heart happy birthday dear
1252,spam,please call immediately urgent message waiting
1253,ham,yeah like go like friend imma flip shit like half hour
1254,ham,mum say wan go go shun bian watch da glass exhibition
1255,ham,plan pongal
1256,ham,wait till end march el nino get oh
1257,ham,yet chikku going room nw bus
1258,ham,also cbe pay
1259,ham,honey boo missing u
1260,ham,sent jd customer service cum account executive ur mail id detail contact u
1261,ham,yo parent gettin cash good news picked downstem
1262,ham,thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy
1263,spam,hungry gay guy feeling hungry call p min stop text call p min
1264,ham,ok wahala remember friend need
1265,ham,see half hour
1266,ham,im inperialmusic listening weirdest track ever leafcutter john sound like insect molested someone plumbing remixed evil men acid
1267,ham,hey sorry didntgive ya bellearlier hunny bedbut mite go thepub l tr uwana mt load luv jenxxx
1268,ham,seriously tell exact word right
1269,spam,u get phone wan na chat set meet call u cum moro luv jane xx call minmoremobsemspobox po wa
1270,ham,tee hee lecture cheery bye bye
1271,ham,sorry chikku cell got problem thts nt able reply u msg u
1272,ham,still havent collected dough pls let know go place sent get control number
1273,ham,ok
1274,spam,network operator service free c visit biz
1275,ham,let know contact settled room let know ok
1276,ham,wot u u weirdo
1277,ham,lor
1278,ham,dont put phone silent mode ok
1279,ham,meet depends wan lor
1280,ham,waiting tv show start lor u leh still busy ur report
1281,ham,oh ho first time u use type word
1282,ham,one stalk profile
1283,ham,ever green quote ever told jerry cartoon person irritates u always one love u vry much fails express gud nyt
1284,ham,yes thought thanks
1285,ham,drinkin ok
1286,ham,wondering others took
1287,ham,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay gud mrng
1288,ham,dog must always wait till end day word run time cell already
1289,ham,happy new year u
1290,ham,hey great deal farm tour pm pax deposit may
1291,ham,eat jap done oso aft ur lect wat got lect rite
1292,ham,hey babe saw came online second disappeared happened
1293,ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wish
1294,ham,happy birthday may ur dream come true
1295,ham,aiyah u ok already lar e nydc wheellock
1296,ham,tell said eat shit
1297,ham,sure driving reach destination soon
1298,ham,k much th fifty
1299,ham,daily text favour time
1300,ham,great hear settling well happenin wit ola
1301,ham,cocksucker make feel better ipads worthless garbage novelty item feel bad even wanting one
1302,ham,tot u reach liao said shirt
1303,ham,fran decided go n e way im completely broke knackered got bout c u mrw love janx p dad fone credit
1304,ham,cant pick phone right pls send message
1305,ham,right make appointment right
1306,ham,designation software developer may get chennai
1307,spam,enjoy jamster videosound gold club credit new videosounds logo musicnews get fun jamster co uk help call
1308,spam,get lion england tone reply lionm mono lionp poly go www ringtones co uk original n best tone gbp network operator rate apply
1309,ham,jokin oni lar busy wun disturb
1310,ham,ok careful text drive
1311,ham,always even spirit get bb soon trying sure need
1312,ham,u r much close heart u go away shattered plz stay
1313,ham,love u babe r u sure everything alrite idiot txt bak girlie
1314,ham,abt making pic bigger
1315,ham,got got colour lor one colour quite light n e darker lor actually done styling hair
1316,ham,whenevr ur sad whenevr ur gray remembr im listn watevr u wan na say jus walk wid little amp promise bring back ur smile
1317,ham,nothing ok anyway give treat
1318,spam,win newest harry potter order phoenix book reply harry answer question chance first among reader
1319,ham,ok
1320,ham,correct work today
1321,ham,sent scream moan bed princess
1322,ham,wake long ago already dunno thing
1323,ham,oh getting even u u
1324,ham,thk shd ok said plus minus leave line paragraph
1325,ham,call plz number show coveragd area urgnt call vasai amp reach clock call plz
1326,ham,yeah jay sort fucking retard
1327,ham,sorry bathroom sup
1328,spam,ur balance ur next question sang uptown girl answer txt ur answer good luck
1329,ham,exam february wish great day
1330,ham,dont know come ask question like dont mistake
1331,ham,aight rush ask jay
1332,ham,good morning plz call sir
1333,ham,ok lar u sleep early nite
1334,ham,oh icic k lor den meet day
1335,ham,oh half hour much longer syria canada eh wow must get much work done day u extra time grin
1336,ham,sometimes put wall around heart safe getting hurt find care enough break wall amp get closer goodnoon
1337,ham,sweet may may go u meet carlos gauge patty interest
1338,ham,buying today need c meh
1339,ham,aight sorry take ten year shower plan
1340,ham,every monday nxt week vl completing
1341,ham,might ax well im
1342,ham,chill another hr could sleep pain surgical emergency see unfolds okay
1343,ham,yeah try scrounge something
1344,ham,crazy ar married like gd looking guy frens like say korean leona fave dun thk aft thinking mayb prob go
1345,ham,somewhere fredericksburg
1346,ham,que pas un buen tiempo something like
1347,ham,ok stay night xavier sleeping bag getting tired
1348,ham,doesnt need test
1349,ham,nothing much chillin home super bowl plan
1350,spam,free day sexy st george day pic jordan txt pic dont miss every wk saucy celeb pic c pocketbabe co uk wk
1351,ham,bugis oso near wat
1352,ham,yo there class tmrw right
1353,ham,let ur heart ur compass ur mind ur map ur soul ur guide u never loose world gnun sent via way sm com
1354,ham,goodnight sleep well da please take care pa please
1355,ham,baaaaabe miss youuuuu go teach class
1356,ham,convey regard
1357,ham,u ned convince tht possible witot hurting feeling main
1358,ham,good afternoon loverboy go day luck come way think sweetie send love across sea make smile happy
1359,ham,start sending blackberry torch nigeria find buyer like month tell dad buy bb anyone oh
1360,ham,lt gt pple marry lover becz hav gud undrstndng dat avoids problem sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnds lt gt min whn u read
1361,ham,yo dude guess got arrested day
1362,ham,shuhui say change suntec steamboat u noe r u
1363,ham,dance river
1364,ham,yetunde sorry moji seem busy able go shopping please find way get wanted u get please forgive reply free via yahoo messenger
1365,ham,hey really pretty late want go lesson first join reaching tp mrt
1366,spam,hot live fantasy call p per min ntt ltd po box croydon cr wb k
1367,ham,bbq sat mine ish ur welcome come
1368,ham,know thing wrong everyso often panicks start goin bout bein good enough
1369,ham,alright good night
1370,ham,try making another butt
1371,ham,hope feeling great pls fill abiola
1372,ham,though shd go n fun bar town something sound ok
1373,ham,go write msg put dictionary mode cover screen hand press lt gt gently remove ur hand interesting
1374,spam,bear pic nick tom pete dick fact type try gay chat photo upload call p min stop text call
1375,spam,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg txtauction
1376,ham,finally ready fyi
1377,ham,auntie huai juan never pick phone
1378,spam,double min double txt price linerental latest orange bluetooth mobile call mobileupd latest offer call optout lf
1379,ham,ya tel wats ur problem
1380,spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend p tone reply hl info
1381,ham,dnt wnt tlk wid u
1382,ham,spend day waiting ideal path appear front u forget path made walking waiting goodnight
1383,ham,ok arm feeling weak cuz got shot go another time
1384,ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve already see net ticket available want book ticket tackle
1385,ham,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moral one get name person bt girlfrnd g n g h
1386,ham,ok popped ask bout something said around tonght wen girl come
1387,ham,e best ur exam later
1388,ham,hope ur head hurt much ploughing way pile ironing staying chinky tonight come round like
1389,ham,oh k think wi nz player unsold
1390,ham,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
1391,ham,wonder got online love gone net cafe get phone recharged friend net think boytoy
1392,ham,haha kidding papa need drug
1393,ham,thk shld b ya wana go lesson haha go one whole stretch
1394,ham,oh ok
1395,ham,r still meeting dinner tonight
1396,ham,thats cool gentleman treat dignity respect
1397,ham,shall start hear
1398,ham,wait u lor need feel bad lar
1399,ham,check got detailed message
1400,ham,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
1401,ham,decided people care stuff vote caring stuff loser
1402,ham,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u
1403,ham,registered sinco payee log icicibank com enter urn lt gt confirm beware fraud share disclose urn anyone
1404,ham,cool fun practicing making baby
1405,ham,actually getting ready leave house
1406,ham,k k special today
1407,spam,urgent important information user today lucky day find log onto http www urawinner com fantastic surprise awaiting
1408,ham,got ta
1409,ham,got ten buck jay noncomittal
1410,ham,hungry
1411,ham,pls speak customer machan
1412,ham,somewhere beneath pale moon light someone think u dream come true goodnite amp sweet dream
1413,ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1414,spam,dear u invited xchat final attempt contact u txt chat p msgrcvdhg suite land row w j hl ldn yr
1415,ham,wats ur opinion abt abt character
1416,ham,jay snickering tell x totally fucking chord speak
1417,ham,hour went hair cut
1418,ham,wonder co dun rem seeing silver car thk saw black one
1419,ham,lmao take pic send
1420,ham,speak feel word better silence gud mrng
1421,ham,currently scotland
1422,ham,work week
1423,spam,congratulation ur awarded either cd gift voucher free entry weekly draw txt music tncs www ldew com win ppmx age
1424,ham,lol great im getting hungry
1425,ham,yes saw message
1426,ham,mu like lt gt second
1427,ham,ok
1428,ham,thing r good thanx got exam march ive done revision fran still boyf ive got ta interviw exeter bit worried x
1429,ham,tell make little spreadsheet track whose idea smoke determine smoke much entire month february come
1430,spam,sale arsenal dartboard good condition double treble
1431,ham,look back building coat want get sick hurry home wear coat gym
1432,ham,painful personal thought always try keep everybody happy time nobody recognises alone
1433,ham,thanks lovely wisheds rock
1434,ham,intrepid duo great time see soon
1435,ham,asked sen come chennai search job
1436,ham,dad went oredi
1437,ham,jus hope true missin co really missin done anything feel guilty yet
1438,ham,wat late still early mah juz go dinner lor aiya dunno
1439,ham,arm fine cardiff uni
1440,ham,fact leave think addie go back school tues wed
1441,ham,cool breeze bright sun fresh flower twittering bird waiting wish u goodmorning amp nice day
1442,ham,ya going restaurant
1443,ham,ok askd u knw tht
1444,spam,free st week entry textpod chance win gb ipod cash every wk txt pod t c www textpod net custcare
1445,ham,ducking chinchilla
1446,ham,marriage function
1447,ham,look like u wil b getting headstart im leaving bout ish u r desperate company could head earlier goin meet rummer
1448,ham,give flying monkey wot think certainly mind friend mine
1449,spam,registered optin subscriber ur draw gift voucher entered receipt correct an whats bbc chart
1450,ham,say thanks
1451,ham,msg rajini come
1452,ham,ya taking ure practical lesson start june
1453,ham,good need drug
1454,ham,stupid possible
1455,ham,decide faster co si going home liao
1456,spam,summer finally fancy chat flirt sexy single yr area get matched reply summer free join optout txt stop help
1457,ham,u sleeping going take haha got spy wat online checking n replying mail lor
1458,spam,claire havin borin time alone u wan na cum nite chat hope c u luv claire xx call minmoremobsemspobox po wa
1459,ham,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
1460,spam,bought one ringtone getting text costing pound offering tone etc
1461,ham,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriage program edhae lyf nt yet ovr chikku ali vargu lyfu meow meow
1462,ham,kinda first one get twelve aah speak tomo
1463,spam,urgent mobile xxxxxxxxx bonus caller prize nd attempt reach call asap
1464,ham,ok good later come find c lucky told go earlier later pple take finish
1465,ham,wat make u thk fall actually thk quite prone fall lucky dad home ask come n fetch already
1466,spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect tc llc ny usa p mt msgrcvd
1467,ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
1468,ham,wont touch permission
1469,spam,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x call minmobsmorelkpobox hp fl
1470,ham,wonder world th th ur style th ur smile th ur personality rd ur nature nd ur sm st ur lovely friendship good morning dear
1471,ham,take small dose tablet fever
1472,ham,oh u must taken real valentine shopping first
1473,ham,sent email address incomm right
1474,ham,gon na blake night might able get little early
1475,ham,friendship game play word say start march end may tomorrow yesterday today e
1476,ham,nice wait texting right gon na pay ticket ya know
1477,ham,watching lotr w si dis aft u wan meet dinner nite
1478,ham,keeping away like
1479,ham,think far find check google map place dorm
1480,ham,trip ok quite tiring lor uni start today ok co taking module jus concentrating final yr project
1481,ham,always saying welp
1482,ham,guy browsin compulsory
1483,ham,ok
1484,ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
1485,ham,sorry call later
1486,ham,add really care least get dude fuck hey money want
1487,ham,hello lover go new job happy think wake slave send teasing kiss across sea
1488,ham,told number gautham
1489,ham,tell need investigate anywhere
1490,ham,ok juz receive
1491,ham,cant believe said many thing morning really wanted say good morning love beautiful morning see library later
1492,spam,account credited free text message activate txt word credit c www biz
1493,ham,end might still vomit okay everything come
1494,ham,money money aint thing sha
1495,ham,everything weather keep extra warm cold nothing serious pls lot vitamin c
1496,ham,hey gal anyone u going e driving centre tmr
1497,ham,always yahoo messenger send message get may send mobile mode sha get reply
1498,ham,putting ready lt time gt
1499,ham,time n smile r two crucial thing life sometimes time make u forget smile sometimes someone smile make u forget time gud noon
1500,spam,sm ac jsco energy high u may know channel day ur leadership skill r strong psychic reply an w question end reply end jsco
1501,ham,host based idp linux system
1502,spam,hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
1503,ham,da whats plan
1504,ham,ill lt gt ok
1505,ham,oh god almost home
1506,ham,total video converter free download type google search
1507,spam,thanks vote sing along star karaoke mobile free link reply sing
1508,ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
1509,ham,sound like something someone testing would sayy
1510,ham,u love someone dont make love u much u love much dont want loved anyone except gud nit
1511,ham,pete phone still jenny college leanne
1512,ham,oops sorry check mind picking tomo half eight station would ok
1513,ham,hey sweet wondering moment might come want send file someone go yahoo connection suck remember set page go download format disc could tell know way download big file download stuff directly internet help would great prey teasing kiss
1514,ham,hows champ leaving glasgow
1515,ham,k best congrats
1516,ham,wonder get text
1517,ham,need come home give good lovin
1518,spam,brand new mobile music service live free music player arrive shortly install phone browse content top artist
1519,ham,shall ask one thing dont mistake
1520,ham,check wid corect speling e sarcasm
1521,spam,urgent mobile awarded bonus caller prize nd attempt contact call box qu bt national rate
1522,ham,angry happen dear
1523,ham,thk u dun haf hint e forum already lor co told ron n darren going tell shuhui
1524,ham,yup ok thanx
1525,ham,hi ct employee
1526,ham,pls pls find aunt nike
1527,ham,wow love sooo much know barely stand wonder day go well love think miss
1528,ham,screaming mean shouting
1529,ham,hey happen de alright
1530,ham,picked receipt something earlier
1531,ham,think chennai well settled
1532,ham,oh dang mean send lol
1533,ham,unfortunately found pick sister airport evening think going try go one th
1534,ham,horrible bf v hungry
1535,ham,remember day
1536,spam,nokia get win free auction take part send nokia hg suite land row w jhl
1537,ham,feel mr real valentine yo valentine even tho u hardly play
1538,ham,sound good finger make difficult type
1539,ham,midnight earliest
1540,ham,sure trying make xavier smoke want smoke told smoke much
1541,ham,k come nordstrom done
1542,ham,u konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleep sweet dream
1543,ham,press conference da
1544,spam,hello orange month free access game news sport plus free text photo message reply yes term apply www orange co uk ow
1545,ham,completed degree use joining finance
1546,ham,good afternoon love job prospect missing lazy bleak hmmm happy filled love
1547,ham,shant disturb u anymore jia
1548,ham,bishan lar nearer need buy early co buy got ta park car
1549,ham,dont know oh
1550,ham,dude sux snake got old raiden got buff
1551,ham,say hi get as back south tampa preferably kegger
1552,ham,e msg jus u said thanks gift
1553,ham,u
1554,ham,ok dear call chechi
1555,ham,yeah tote u wan na
1556,ham,ok found dis pierre cardin one look normal cost sale
1557,ham,good sleep rhythm person establish rhythm body learn use want know
1558,ham,wat r u
1559,ham,message truro hospital ext phone phone side
1560,ham,single line big meaning miss anything ur best life miss ur best life anything gud nyt
1561,ham,got gas money chance gang want go grand nature adventure
1562,ham,dnt worry use ice piece cloth pack also take tablet
1563,ham,dude saw parked car sunroof popped sux
1564,ham,get ready put excellent sub face
1565,ham,tmrw im finishing door
1566,ham,lt gt g saw day ago guy want sell wifi lt gt g lt gt blanked
1567,ham,late
1568,ham,whatever im pretty pissed
1569,ham,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
1570,ham,dont much image class
1571,ham,got rumour going buy apartment chennai
1572,ham,near kalainar tv office thenampet
1573,spam,ur cash balance currently pound maximize ur cash send go p msg cc hg suite land row w j hl
1574,spam,sm auction brand new nokia auction today auction free join take part txt nokia hg suite land row w j hl
1575,ham,si catching e show e afternoon watching w c u wan watch today tmr lor
1576,ham,sound gd haha wah u yan jiu fast liao
1577,ham,nosy guess idk reacting freaked
1578,ham,remember hurt day satanic imposter need pay price may destiny keep going u said pray get mind get
1579,ham,make girl happy difficult make girl happy u need friend companion lover chef lt gt good listener lt gt organizer lt gt good boyfriend lt gt clean lt gt sympathetic lt gt athletic lt gt warm lt gt courageous lt gt determined lt gt true lt gt dependable lt gt intelligent lt gt psychologist lt gt pest exterminator lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniye pudunga venaam
1580,ham,princess bet brothas chasing
1581,ham,shall book chez jules half eight ok
1582,ham,hhahhaahahah rofl wtf nig leonardo room something
1583,ham,yep derek house see sunday lt
1584,ham,cool let know kick around lt gt day
1585,ham,sorry call later
1586,ham,wondering would okay call uncle john let know thing nigeria r lt gt dollar year sent know strain plan pay back every dime give every dime expect anything practical something like
1587,ham,charge transfer charge withdraw anyhow like
1588,ham,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
1589,ham,let go bill miller
1590,ham,love set soul fire spark flame big rawring flame xoxo
1591,ham,somewhr someone surely made u god decided perfect time make u meet dat person till den enjoy ur crush
1592,ham,honeymoon outfit
1593,ham,help propose going back tomorrow
1594,spam,private account statement show un redeemed point call identifier code expires
1595,ham,never blame day ur life good day give u happiness bad day give u experience essential life god blessing good morning
1596,ham,pls confirm time collect cheque
1597,spam,registered subscriber yr draw gift voucher b entered receipt correct an next olympics txt an
1598,spam,urgent mobile number awarded prize guaranteed call land line claim valid hr ppm
1599,ham,daddy take good care
1600,ham,yeah probably still got ta check leo
1601,ham,k special
1602,ham,carlos taking sweet time usual let know patty done want smoke tell haul as
1603,ham,ok pa nothing problem
1604,ham,heard job going wildlife talk tonight u want come worzels wizzle whatever
1605,ham,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaid friend u
1606,ham,came hostel
1607,ham,ok prob come lunch
1608,ham,jus telling u dat b leaving shanghai st instead haf time meet cya
1609,ham,freezing home yet remember kiss mom morning love think missing yet
1610,ham,ready big day tomorrow
1611,ham,probably around mu lot
1612,ham,
1613,spam,rt king pro video club need help info ringtoneking co uk call must club credit redeemable www ringtoneking co uk enjoy
1614,ham,thnx dude u guy nite
1615,ham,sef dey laugh meanwhile darling anjie
1616,ham,mm food da
1617,ham,k make sense btw carlos difficult guy gon na smoke go pick second batch get gas
1618,ham,u download fring app
1619,ham,oz guy kinda flaky one friend interested picking lt gt worth tonight possible
1620,ham,friend u stay fb chat
1621,ham,fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
1622,ham,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte
1623,spam,u secret admirer looking make contact u find r reveal think ur special call
1624,ham,ah well confuses thing
1625,spam,free text msg text ok credit account
1626,ham,hi dear call urgnt know whats problem want work problem least tell wating reply
1627,ham,dear ok
1628,spam,selected stay top british hotel nothing holiday worth claim call london bx sw s
1629,ham,yes princess want make happy
1630,ham,sound like many talent would like go dinner date next week
1631,ham,going film day da pm sorry da
1632,ham,watching movie already xy want shop shopping w
1633,ham,hello little party animal thought buzz friend grin reminding loved send naughty adoring kiss
1634,ham,yesterday going home
1635,spam,eerie nokia tone u rply tone title eg tone dracula title ghost addamsfa munsters exorcist twilight www getzed co uk pobox w wq p
1636,ham,come life brought sun shiny warming heart putting constant smile face making feel loved cared
1637,ham,shit surprised went spent evening french guy met town fooled around bit let fuck
1638,spam,network allow company bill sm responsible supplier shop give guarantee sell b g
1639,ham,great comedy cant stop laughing da
1640,spam,freemsg feelin kinda lnly hope u like keep company jst got cam moby wan na c pic txt reply date msg p rcv hlp stop
1641,ham,alright set text man
1642,ham,hi keen go kind feel go tomo mind
1643,ham,sleeping nt feeling well
1644,ham,u switch fone dammit
1645,ham,india take lead
1646,ham,post l r class
1647,ham,thts wat wright brother fly
1648,ham,evening v good somewhat event laden fill worry head ok throat wrecked see six
1649,ham,u laugh really loud u talk spontaneously u dont care others feel u probably dear amp best friend goodevening dear
1650,ham,laptop take
1651,ham,dont file bag work called tell find anything room
1652,ham,wan early lei outside wun b home early neva mind
1653,spam,ur chance win cash every wk txt action c www movietrivia tv custcare x p wk
1654,ham,bugis juz wat walking home oredi late reply oso saw top dat like din buy r
1655,ham,wishing family merry x ma happy new year advance
1656,ham,go ok na
1657,ham,yes posted couple pic fb still snow outside waking
1658,ham,one good partnership going take lead
1659,spam,rgent nd attempt contact u u call b csbcm wc n xx callcost ppm mobilesvary max
1660,ham,yeah class
1661,ham,send bec temple na
1662,ham,coming home class right need work shower
1663,spam,hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx call minmobsmorelkpobox hp fl
1664,ham,mostly like
1665,ham,v fan
1666,ham,dunno co v late n reach inside already ate spageddies lor e gal r laughing lor
1667,ham,guess spent last night phasing fourth dimension
1668,ham,dad gon na call get work ask crazy question
1669,ham,yes said
1670,ham,hurting n meaningful line ever compromised everything love end love compromised everything gud mornin
1671,ham,lmao nice
1672,ham,glad see reply
1673,spam,urgent trying contact u today draw show prize guaranteed call land line claim valid hr
1674,spam,monthly password wap mobsi com use wap phone pc
1675,ham,nah dub je still buff
1676,ham,painful word thought happy toughest thing earth toughest acting happy unspoken pain inside
1677,ham,yeah fine get ok
1678,ham,lol u come idea
1679,ham,many people seems special first sight remain special till last sight maintain till life end sh jas
1680,ham,today song dedicated day song u dedicate send ur valuable frnds first rply
1681,ham,okay wait ah
1682,ham,lei
1683,ham,hi babe u r likely bed im sorry tonight really wan na see u tomorrow call love xxx
1684,ham,already squatting new way walking
1685,ham,want bold bb torch
1686,ham,cramp stopped going back sleep
